Event,Date,Time,Location,Course,Pairings 1,Pairings 2,Team 1 Opponent,"Team 1, Pairing 1 Starting Hole","Team 1, Pairing 2 Starting Hole",Team 1 Home/Away,Team 2 Opponent,"Team 2, Pairing 1 Starting Hole","Team 2, Pairing 2 Starting Hole",Team 2 Home/Away,Team 3 Opponent,"Team 3, Pairing 1 Starting Hole","Team 3, Pairing 2 Starting Hole",Team 3 Home/Away,Team 4 Opponent,"Team 4, Pairing 1 Starting Hole","Team 4, Pairing 2 Starting Hole",Team 4 Home/Away,Team 5 Opponent,"Team 5, Pairing 1 Starting Hole","Team 5, Pairing 2 Starting Hole",Team 5 Home/Away,Team 6 Opponent,"Team 6, Pairing 1 Starting Hole","Team 6, Pairing 2 Starting Hole",Team 6 Home/Away,Team 7 Opponent,"Team 7, Pairing 1 Starting Hole","Team 7, Pairing 2 Starting Hole",Team 7 Home/Away,Team 8 Opponent,"Team 8, Pairing 1 Starting Hole","Team 8, Pairing 2 Starting Hole",Team 8 Home/Away,Canceled,Complete
Banquet 1,"March 21, 2023",4:00PM,National Sports Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,
Scramble 1,"April 17, 2023",5:30PM,Victory Links,Back Nine,ABCD,NA,NA,10a,NA,NA,NA,10b,NA,NA,NA,11a,NA,NA,NA,12a,NA,NA,NA,12b,NA,NA,NA,13a,NA,NA,NA,14a,NA,NA,NA,15a,NA,NA,N,
League Round 1,"April 24, 2023",5:30PM,Victory Links,Front Nine,AB,CD,6,,,Home,7,,,Home,4,,,Home,3,,,Away,8,,,Away,1,,,Away,2,,,Away,5,,,Home,N,
League Round 2,"May 1, 2023",5:30PM,Victory Links,Back Nine,AC,BD,2,,,Home,1,,,Away,6,,,Away,8,,,Home,7,,,Home,3,,,Home,5,,,Away,4,,,Away,N,
League Round 3,"May 8, 2023",5:30PM,Victory Links,Front Nine,AD,BC,5,,,Home,6,,,Home,8,,,Away,7,,,Away,1,,,Away,2,,,Away,4,,,Home,3,,,Home,N,
League Round 4,"May 15, 2023",5:30PM,Victory Links,Back Nine,CD,AB,4,,,Away,5,,,Away,7,,,Home,1,,,Home,2,,,Home,8,,,Home,3,,,Away,6,,,Away,N,
League Round 5,"May 22, 2023",5:30PM,Victory Links,Front Nine,BD,AC,3,,,Away,4,,,Home,1,,,Home,2,,,Away,6,,,Away,5,,,Home,8,,,Home,7,,,Away,N,
League Round 6,"June 5, 2023",5:30PM,Victory Links,Back Nine,BC,AD,8,,,Away,3,,,Away,2,,,Home,5,,,Home,4,,,Away,7,,,Away,6,,,Home,1,,,Home,N,
League Round 7,"June 12, 2023",5:30PM,Victory Links,Front Nine,AB,CD,7,,,Away,8,,,Away,5,,,Away,6,,,Home,3,,,Home,4,,,Away,1,,,Home,2,,,Home,N,
Scramble 2,"June 19, 2023",5:30PM,Victory Links,Back Nine,ABCD,NA,NA,11a,NA,NA,NA,12b,NA,NA,NA,12a,NA,NA,NA,14a,NA,NA,NA,13a,NA,NA,NA,15a,NA,NA,NA,10a,NA,NA,NA,10b,NA,NA,N,
League Round 8,"June 26, 2023",5:30PM,Victory Links,Front Nine,AC,BD,6,,,Home,7,,,Home,4,,,Home,3,,,Away,8,,,Away,1,,,Away,2,,,Away,5,,,Home,N,
Banquet 2,"June 26, 2023",8:30PM,National Sports Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,
League Round 9,"July 10, 2023",5:30PM,Victory Links,Back Nine,AD,BC,2,,,Home,1,,,Away,6,,,Away,8,,,Home,7,,,Home,3,,,Home,5,,,Away,4,,,Away,N,
League Round 10,"July 17, 2023",5:30PM,Victory Links,Front Nine,CD,AB,5,,,Away,6,,,Home,8,,,Away,7,,,Away,1,,,Home,2,,,Away,4,,,Home,3,,,Home,N,
League Round 11,"July 24, 2023",5:30PM,Victory Links,Back Nine,BD,AC,4,,,Away,5,,,Away,7,,,Home,1,,,Home,2,,,Home,8,,,Home,3,,,Away,6,,,Away,N,
League Round 12,"July 31, 2023",5:30PM,Victory Links,Front Nine,BC,AD,3,,,Home,4,,,Home,1,,,Away,2,,,Away,6,,,Away,5,,,Home,8,,,Home,7,,,Away,N,
League Round 13,"August 7, 2023",5:30PM,Victory Links,Back Nine,AD,BC,8,,,Away,3,,,Away,2,,,Home,5,,,Home,4,,,Away,7,,,Away,6,,,Home,1,,,Home,N,
League Round 14,"August 14, 2023",5:30PM,Victory Links,Front Nine,AB,CD,7,,,Home,8,,,Home,5,,,Away,6,,,Away,3,,,Home,4,,,Home,1,,,Away,2,,,Away,N,
League Round 15,"August 21, 2023",5:30PM,Victory Links,Back Nine,AC,BD,6,,,Home,7,,,Away,4,,,Home,3,,,Away,8,,,Home,1,,,Away,2,,,Home,5,,,Away,N,
